filename,filepath,level,split,image_hash
levle0_0.jpg,../data/Acnedataset/JPEGImages\levle0_0.jpg,0,trainval,88baf5323c61a71b201d819db2a01181
levle0_1.jpg,../data/Acnedataset/JPEGImages\levle0_1.jpg,0,trainval,78fa999c748c502d627140fe57a3fb6f
levle0_100.jpg,../data/Acnedataset/JPEGImages\levle0_100.jpg,0,trainval,2f03c48d79b5c30708d0977d6bf6a8cd
levle0_101.jpg,../data/Acnedataset/JPEGImages\levle0_101.jpg,0,trainval,91ea421e17c0909dffa5313f964b83e8
levle0_102.jpg,../data/Acnedataset/JPEGImages\levle0_102.jpg,0,trainval,193b512092a0908675d10610790974f7
levle0_104.jpg,../data/Acnedataset/JPEGImages\levle0_104.jpg,0,trainval,89b25fd9f02862af834560bf1bf27fd4
levle0_105.jpg,../data/Acnedataset/JPEGImages\levle0_105.jpg,0,trainval,802bd61a941ef557008cffd474fcc1a9
levle0_106.jpg,../data/Acnedataset/JPEGImages\levle0_106.jpg,0,trainval,43965d2fe552a7bba7cf26beb677643a
levle0_108.jpg,../data/Acnedataset/JPEGImages\levle0_108.jpg,0,trainval,ddfabbabd055166cfabcc2c9c1b5f873
levle0_109.jpg,../data/Acnedataset/JPEGImages\levle0_109.jpg,0,trainval,b0ec09ee4517526519c3d41bb2537c54
levle0_110.jpg,../data/Acnedataset/JPEGImages\levle0_110.jpg,0,trainval,0218b8d7d80a1a535ede25d05db605b1
levle0_111.jpg,../data/Acnedataset/JPEGImages\levle0_111.jpg,0,trainval,208f430e3244ee9f94925d5c34ff98ff
levle0_113.jpg,../data/Acnedataset/JPEGImages\levle0_113.jpg,0,trainval,55cc3d3054d18d042ef2608abcf262ab
levle0_115.jpg,../data/Acnedataset/JPEGImages\levle0_115.jpg,0,trainval,2e2dd6543d9930ba9a300de2e468695d
levle0_116.jpg,../data/Acnedataset/JPEGImages\levle0_116.jpg,0,trainval,57319281c32f10ed67332b7ea9215bef
levle0_117.jpg,../data/Acnedataset/JPEGImages\levle0_117.jpg,0,trainval,f5c2e01dd57563e2f3df22164c3792b5
levle0_118.jpg,../data/Acnedataset/JPEGImages\levle0_118.jpg,0,trainval,5f5aecc678f96334e9b27df1bbcbf0f7
levle0_119.jpg,../data/Acnedataset/JPEGImages\levle0_119.jpg,0,trainval,346bb890cefc56480785d18df9386603
levle0_12.jpg,../data/Acnedataset/JPEGImages\levle0_12.jpg,0,trainval,f3a0f7a65e2df78e41e69533c9560e7a
levle0_120.jpg,../data/Acnedataset/JPEGImages\levle0_120.jpg,0,trainval,a969be35d960c8ffd51560e7b135d4be
levle0_121.jpg,../data/Acnedataset/JPEGImages\levle0_121.jpg,0,trainval,82505a6e73ab7d2db24e339034df0056
levle0_123.jpg,../data/Acnedataset/JPEGImages\levle0_123.jpg,0,trainval,346bb890cefc56480785d18df9386603
levle0_124.jpg,../data/Acnedataset/JPEGImages\levle0_124.jpg,0,trainval,50a9a8e934787d06376d6bd1bb3a7ac4
